Part#|Plant|Warehouse|Inv. Lov|Box Unit|Dept|Stock Date
000000007287619710|1815|181|SORT3|504.000|E|20260127
000000007287619710|1815|181|SORT3|504.000|E|20260127
000000007289459930|1815|181|SORT3|1080.000|E|20260127
000000007287619710|1815|181|SORT3|504.000|E|20260127
000000007297527130|1815|181|SORT3|1024.000|E|20260127
000000007287619710|1815|181|SORT3|504.000|E|20260127
000000007287619710|1815|181|SORT3|504.000|E|20260127
000000007287619710|1815|181|SORT3|504.000|E|20260127
000000007287619710|1815|181|SORT3|504.000|E|20260127
000000007287619710|1815|181|SORT3|504.000|E|20260127
000000007287619710|1815|181|SORT3|504.000|E|20260128
000000007287619710|1815|181|SORT3|504.000|E|20260128
000000007287619710|1815|181|SORT3|504.000|E|20260128
000000007297957930|1815|181|SORT3|150.000|E|20260128
000000007287619710|1815|181|SORT3|504.000|E|20260128
000000007287619710|1815|181|SORT3|504.000|E|20260128
000000007287619710|1815|181|SORT3|504.000|E|20260128
000000007287619710|1815|181|SORT3|504.000|E|20260128
000000007289729330|1815|181|SORT3|256.000|E|20260128
000000007287619710|1815|181|SORT3|504.000|E|20260128
000000007287837840|1815|181|SORT3|1404.000|E|20260128
000000007297957930|1815|181|SORT3|150.000|E|20260128
000000007283607630|1815|181|SORT3|1000.000|E|20260129
000000007298100130|1815|181|SORT3|96.000|E|20260129
000000007287619710|1815|181|SORT3|504.000|E|20260129
000000007289552040|1815|181|SORT3|648.000|E|20260130
000000007283607930|1815|181|SORT3|1000.000|E|20260130
000000007283607930|1815|181|SORT3|1000.000|E|20260129
000000007287888240|1815|181|SORT3|160.000|E|20260130
000000007287619710|1815|181|SORT3|504.000|E|20260130
000000007283607630|1815|181|SORT3|1000.000|E|20260130
000000007283607930|1815|181|SORT3|1000.000|E|20260130
000000007287619710|1815|181|SORT3|504.000|E|20260130
000000007289729330|1815|181|SORT3|256.000|E|20260131
000000007289729330|1815|181|SORT3|256.000|E|20260131
000000007283607930|1815|181|SORT3|1000.000|E|20260131
000000007287926610|1815|181|SORT3|486.000|E|20260131
000000007287619710|1815|181|SORT3|504.000|E|20260131
000000007287619710|1815|181|SORT3|504.000|E|20260131
000000007287619710|1815|181|SORT3|504.000|E|20260131
000000007287619710|1815|181|SORT3|504.000|E|20260131
000000007287619710|1815|181|SORT3|504.000|E|20260131
000000007287619710|1815|181|SORT3|504.000|E|20260131
000000007287619710|1815|181|SORT3|504.000|E|20260131
000000007282646940|1815|181|SORT3|600.000|E|20260131
000000007283638640|1815|181|SORT3|2000.000|E|20260131
000000007298100740|1815|181|SORT3|96.000|E|20260131
000000007298100740|1815|181|SORT3|96.000|E|20260131
000000007298100740|1815|181|SORT3|96.000|E|20260131
000000007289778240|1815|181|SORT3|1386.000|E|20260131
000000007287619710|1815|181|SORT3|504.000|E|20260131
000000007222743440|1815|181|SORT3|1400.000|E|20260201
000000007297871230|1815|181|SORT3|150.000|E|20260124
000000007297871230|1815|181|SORT3|150.000|E|20260124
000000007297871230|1815|181|SORT3|150.000|E|20260124
000000007283638640|1815|181|SORT3|2000.000|E|20260201
000000007289459930|1815|181|SORT3|1080.000|E|20260201
000000007287619710|1815|181|SORT3|504.000|E|20260201
000000007283645440|1815|181|SORT3|1716.000|E|20260201
000000007287619710|1815|181|SORT3|504.000|E|20260201
000000007283645440|1815|181|SORT3|1716.000|E|20260201
000000007283638640|1815|181|SORT3|2000.000|E|20260201
000000007222743440|1815|181|SORT3|1400.000|E|20260201
000000007289687540|1815|181|SORT3|756.000|E|20260201
000000007283902940|1815|181|SORT3|770.000|E|20260201
000000007289459930|1815|181|SORT3|1080.000|E|20260201
000000007289459930|1815|181|SORT3|1080.000|E|20260201
000000007289459930|1815|181|SORT3|1080.000|E|20260201
000000007298100130|1815|181|SORT3|96.000|E|20260201
000000007282607530|1815|181|SORT3|1500.000|E|20260202
000000007222746440|1815|181|SORT3|800.000|E|20260202
000000007283638640|1815|181|SORT3|2000.000|E|20260202
000000007222746440|1815|181|SORT3|800.000|E|20260202
000000007283638640|1815|181|SORT3|2000.000|E|20260202
000000007287619710|1815|181|SORT3|504.000|E|20260202
000000007287619710|1815|181|SORT3|504.000|E|20260202
000000007289459930|1815|181|SORT3|1080.000|E|20260202
000000007287619710|1815|181|SORT3|504.000|E|20260202
000000007287619710|1815|181|SORT3|504.000|E|20260202
000000007289459930|1815|181|SORT3|1080.000|E|20260202
000000007289459930|1815|181|SORT3|1080.000|E|20260202
000000007289727830|1815|181|SORT3|1080.000|E|20260202
000000007289459930|1815|181|SORT3|1080.000|E|20260202
000000007283638640|1815|181|SORT3|2000.000|E|20260202
000000007289687540|1815|181|SORT3|756.000|E|20260202
000000007289727830|1815|181|SORT3|1080.000|E|20260202
000000007289727830|1815|181|SORT3|1080.000|E|20260202
000000007283638640|1815|181|SORT3|2000.000|E|20260202
000000007287574030|1815|181|SORT3|1260.000|E|20260202
000000007289459930|1815|181|SORT3|1080.000|E|20260203
000000007289459930|1815|181|SORT3|1080.000|E|20260203
000000007286677930|1815|181|SORT3|300.000|E|20260203
000000007286677930|1815|181|SORT3|300.000|E|20260203
000000007298100740|1815|181|SORT3|96.000|E|20260202
000000007298100740|1815|181|SORT3|96.000|E|20260202
000000007298100740|1815|181|SORT3|96.000|E|20260202
000000007298100740|1815|181|SORT3|96.000|E|20260202
000000007298100740|1815|181|SORT3|96.000|E|20260202
000000007298100740|1815|181|SORT3|96.000|E|20260202
000000007298100740|1815|181|SORT3|96.000|E|20260202
000000007298100740|1815|181|SORT3|96.000|E|20260202
