Fecha|Part#|Turno|Piezas|Estandar|Cost|Linea|Celda|Planta|Dado|Time
20251214|7172179830|1|150.000|150.000|11.00|E1C11001|E1C|1815|C11-02|102329
20251119|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|113104
20251022|7152565930|1|180.000|180.000|28.63|E1C11001|E1C|1815|C11-02|112430
20251119|71479095|1|5000.000|5000.000|106.89|E1C11001|E1C|1815|C11-02|112507
20251211|7147880330|1|2000.000|2000.000|74.87|E1C11001|E1C|1815|C11-02|112430
20251210|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|112449
20251025|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112449
20251110|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|135939
20251010|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|113133
20251118|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|105548
20251217|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|112639
20251027|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|102454
20251029|7147880030|1|3000.000|3000.000|105.46|E1C11001|E1C|1815|C11-02|113112
20251015|7158708050|1|6000.000|6000.000|131.38|E1C11001|E1C|1815|C11-02|142929
20251101|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|112501
20251126|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|105616
20251030|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|113156
20251118|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|113156
20251206|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|102340
20251215|7122412330|1|700.000|700.000|58.73|E1C11001|E1C|1815|C11-02|102340
20251103|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|150031
20251216|70471664|1|1200.000|1200.000|26.42|E1C11001|E1C|1815|C11-02|135858
20251215|71851037|1|250.000|250.000|40.77|E1C11001|E1C|1815|C11-02|112506
20251022|7152565930|1|180.000|180.000|28.63|E1C11001|E1C|1815|C11-02|112406
20251208|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|102442
20251031|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|102344
20251122|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112617
20251118|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112545
20251123|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|112545
20251128|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|112357
20251206|7172179830|1|150.000|150.000|11.00|E1C11001|E1C|1815|C11-02|112559
20251020|7152565930|1|180.000|180.000|28.63|E1C11001|E1C|1815|C11-02|112350
20251126|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|112350
20251027|70479171|1|3000.000|3000.000|110.09|E1C11001|E1C|1815|C11-02|112417
20251201|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|173106
20251112|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|105605
20251118|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112529
20251031|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|115645
20251122|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112637
20251121|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|105606
20251202|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|105604
20251203|7123604330|1|1800.000|1800.000|94.84|E1C11001|E1C|1815|C11-02|140010
20251018|7173542030|1|300.000|300.000|12.73|E1C11001|E1C|1815|C11-02|112419
20251124|7122412330|1|700.000|700.000|58.73|E1C11001|E1C|1815|C11-02|112407
20251029|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|135857
20251122|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112627
20251217|7173453440|1|4000.000|4000.000|42.36|E1C11001|E1C|1815|C11-02|142914
20251102|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112610
20251115|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|112538
20251016|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|112510
20251019|7173542030|1|300.000|300.000|12.73|E1C11001|E1C|1815|C11-02|112556
20251123|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|112511
20251025|7173542030|1|300.000|300.000|12.73|E1C11001|E1C|1815|C11-02|102448
20251004|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|115506
20251013|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|112348
20251108|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|102348
20251130|7185052751|1|250.000|250.000|45.50|E1C11001|E1C|1815|C11-02|135937
20251207|7152550130|1|180.000|180.000|28.69|E1C11001|E1C|1815|C11-02|112555
20251101|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|112602
20251110|71479095|1|5000.000|5000.000|106.89|E1C11001|E1C|1815|C11-02|105536
20251211|70475344|1|6016.000|6016.000|52.75|E1C11001|E1C|1815|C11-02|132846
20251206|7173453440|1|4000.000|4000.000|42.36|E1C11001|E1C|1815|C11-02|105601
20251208|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|105601
20251004|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|112531
20251127|7123501430|1|2000.000|2000.000|40.45|E1C11001|E1C|1815|C11-02|102226
20251031|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|105646
