Inventory|Location|Box Unit|Part No.|Date|Dept
3MR|FG508|150.000|000000007298709130|20250418|E
3MR|FG508|150.000|000000007277117130|20250714|E
3MR|FG508|150.000|000000007277076530|20250811|E
3MR|FG508|150.000|000000007277076530|20250811|E
3MR|FG509|150.000|000000007298159530|20220922|E
3M0|NO-DEMANDA|720.000|000000007287191890|20260118|E
3YC|G01-01A20|4160.000|000000000071721336|20260111|E
3YC|E04-01B08|408.000|000000000071894762|20260123|E
CA1|CA128|272.000|000000007189318530|20251219|E
CA1|CA128|272.000|000000007189318530|20251219|E
CA1|CA128|272.000|000000007189318530|20251219|E
CA1|CA128|272.000|000000007189318530|20251219|E
CA1|CA128|272.000|000000007189318530|20251219|E
3YC|E06-01A12|1040.000|000000007172015650|20260113|E
3MR|C0076|1040.000|000000007283248430|20251126|E
3MR|C0076|936.000|000000000072873831|20251127|E
3MR|C0076|3500.000|000000007123834530|20251214|E
3YC|E06-01B02|280.000|000000007183594640|20251030|E
3YC|E06-01B02|280.000|000000007183594640|20251104|E
3YC|E06-01B02|280.000|000000007183594640|20251104|E
3YC|E06-01B02|280.000|000000007183594640|20251104|E
3YC|E06-01B02|280.000|000000007183594640|20251105|E
3YC|E06-01B02|280.000|000000007183594640|20251112|E
3YC|E06-01B02|280.000|000000007183594640|20251112|E
3YC|E06-01B02|280.000|000000007183594640|20251112|E
3YC|E06-01B02|280.000|000000007183594640|20251112|E
3YC|E06-01B02|280.000|000000007183594640|20251112|E
3YC|E06-01B02|280.000|000000007183594640|20251112|E
3YC|E06-01B02|280.000|000000007183594640|20251112|E
3YC|E06-01B02|280.000|000000007183594640|20251112|E
3YC|E06-01B02|280.000|000000007183594640|20251113|E
3YC|E06-01B02|280.000|000000007183594640|20251113|E
3YC|E06-01B02|280.000|000000007183594640|20251113|E
3YC|E06-01B02|280.000|000000007183594640|20251113|E
3YC|E06-01C06|280.000|000000007183594630|20250923|E
3YC|E06-01C06|280.000|000000007183594630|20251204|E
3MR|C0075|770.000|000000007283449030|20251223|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20250120|E
2YC|TRAILER01|96.000|000000000071851965|20241218|E
