Plant|Maquina|Celda|Fecha|Hora inicio|Part #|Dado|Cavidades|T ciclico|Resina
1815|G0205032|G02|20260204|112347|S071721552P|YA1|4.0000000000000000E+00|15.494|M510017200
1815|F0411032|F04|20260204|040508|S071734181P|YA1|2.0000000000000000E+00|17.798|M510017200
1815|G0105018|G01|20260204|085419|S7189832230P|YA1|2.0000000000000000E+00|17.302|M510017230
1815|F0605005|F06|20260204|031405|S7188832330P|YA2|2.0000000000000000E+00|16.999|M510017230
1815|G0422005|G04|20260204|092457|S7174272130|YA1|4.0000000000000000E+00|28.498|M510047930
1815|G0322001|G03|20260204|020008|S0071742054|YA1|2.0000000000000000E+00|37.001|M510018800
1815|F0411035|F04|20260204|040028|S0071735418|YA1|8.0000000000000000E+00|25.690|M510065200
1815|G0104023|G01|20260204|001710|S0070471664|Y1|8.0000000000000000E+00|17.510|M510047900
1815|G0205008|G02|20260204|015258|S0071859557|YA2|4.0000000000000000E+00|24.998|M510092600
1815|G0311012|G03|20260204|101153|S7185106630|Y1|4.0000000000000000E+00|29.995|M510022230
1815|G0311012|G03|20260204|051027|S7185106630E|Y1|4.0000000000000000E+00|29.995|M510022230
1815|G0311034|G03|20260204|001637|000000007186677930|YA1|4.0000000000000000E+00|27.994|M510022100
1815|G0421011|G04|20260204|031250|000000007186976240|Y1|4.0000000000000000E+00|39.298|M510018800
1815|F0204006|F02|20260204|044143|000000007187002730|Y3|4.0000000000000000E+00|23.299|M510017230
1815|F0511018|F05|20260204|091610|000000007187049240|YA1|8.0000000000000000E+00|19.987|M510018800
1815|F0211055|F02|20260204|045716|000000007187159630|Y2|1.6000000000000000E+01|23.674|M510017230
1815|F0311034|F03|20260204|104928|000000007187199030|Y1|4.0000000000000000E+00|26.496|M510104330
1815|F0411013|F04|20260204|071437|000000007187199240|YA2|4.0000000000000000E+00|27.000|M510104300
1815|G0105030|G01|20260204|021952|000000007187204730|M1|4.0000000000000000E+00|18.202|M510022230
1815|G0411033|G04|20260204|074534|000000007187326030|YA1|4.0000000000000000E+00|29.995|M510022230
1815|F0511023|F05|20260204|083053|000000007187837840|UA2|8.0000000000000000E+00|19.613|M510017200
1815|F0511023|F05|20260204|021815|000000007187919230|UA2|8.0000000000000000E+00|19.613|M510022100
1815|F0411052|F04|20260204|053041|000000007188302910|Y1|8.0000000000000000E+00|32.198|M510055500
1815|F0411036|F04|20260204|042754|000000007188366540|Y1|8.0000000000000000E+00|24.394|M510129100
1815|F0411036|F04|20260204|005118|000000007188729640|Y1|8.0000000000000000E+00|24.394|M510018800
1815|G0311013|G03|20260204|085433|000000007188819830|M1|2.0000000000000000E+00|36.698|M510022230
1815|F0508035|F05|20260204|102204|000000007188875130|Y1|4.0000000000000000E+00|29.304|M510055530
1815|F0411014|F04|20260204|091343|000000007188892030|YA1|4.0000000000000000E+00|33.394|M510129130
1815|F0511020|F05|20260204|090143|000000007189318530|YA1|4.0000000000000000E+00|23.904|M510129130
1815|G0311017|G03|20260204|072230|000000007189459930|YA1|8.0000000000000000E+00|23.011|M510022230
1815|G0105020|G01|20260204|015033|000000007189551930|YA1|2.0000000000000000E+00|22.003|M510022230
1815|G0311042|G03|20260204|092641|000000007189552040|Y1|4.0000000000000000E+00|20.995|M510022100
1815|F0311039|F03|20260204|081733|000000007189656830|Y1|8.0000000000000000E+00|27.994|M510129130
1815|G0205001|G02|20260204|081231|000000007189722440|Y1|4.0000000000000000E+00|17.698|M510018800
1815|F0318001|F03|20260204|021808|000000007189729330|Y1|4.0000000000000000E+00|34.603|M510129130
1815|F0511025|F05|20260204|070837|000000007189763040|Y1|8.0000000000000000E+00|26.294|M510129100
1815|G0105027|G01|20260204|015714|000000007189778230|Y1|4.0000000000000000E+00|22.003|M510129130
1815|G0311022|G03|20260204|022256|000000007189820130|Y3|2.0000000000000000E+00|30.002|M510022230
1815|F0511027|F05|20260204|004747|000000007189873230|Y1|4.0000000000000000E+00|22.795|M510055530
1815|F0311049|F03|20260204|112251|000000007197101330|YA3|4.0000000000000000E+00|27.504|M510017230
1815|F0211056|F02|20260204|031427|000000007197297330|YA1|8.0000000000000000E+00|23.011|M510065230
1815|F0311053|F03|20260204|074512|000000007197481530|YA1|4.0000000000000000E+00|24.998|M510017230
1815|F0311053|F03|20260204|085357|000000007197483830|YA1|4.0000000000000000E+00|24.998|M510017230
1815|G0422006|G04|20260204|022657|000000007197483870|YA1|4.0000000000000000E+00|29.995|M510017200
1815|G0422006|G04|20260204|105417|000000007198100130|YA1|4.0000000000000000E+00|29.995|M510017230
1815|G0211002|G02|20260204|051352|000000007198138230|YA1|2.0000000000000000E+00|33.998|M510092630
1815|F0511021|F05|20260204|044329|000000007198306030|YA1|4.0000000000000000E+00|27.994|M510018830
