Cntrl Pl. Plant|Maquina|Celda|FECHA|Hora inicio|Part#|Dado|Cavidades|T ciclico|Resina
1815|F0101029|F01|20260204|130014|7172188150|YA2|0000000002|19.397|M510109250
1815|F0605010|F06|20260204|130014|7172198460|YA1|0000000008|18.000|M510017200
1815|F0605010|F06|20260204|130014|7172198760|YA1|0000000008|16.214|M510017200
1815|G0205007|G02|20260204|130014|7172204280|M1|0000000008|19.008|M510022100
1815|G0205007|G02|20260204|130014|7172204390|Y1|0000000008|19.901|M510022100
1815|F0101027|F01|20260204|130014|7172205950|YA1|0000000004|15.998|M510017200
1815|G0105023|G01|20260204|130014|7173362030|M1|0000000004|24.005|M510055530
1815|F0411031|F04|20260204|130014|7173376330|YA1|0000000004|25.502|M510055530
1815|F0411032|F04|20260204|130014|7173438430|YA1|0000000004|27.994|M510055530
1815|F0411038|F04|20260204|130014|7173444430|YA1|0000000004|24.998|M510055530
1815|T2G03001|T2G|20260204|130014|7173538130|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173559330|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03001|T2G|20260204|130014|7173562030|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173582930|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173584130|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173586630|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173587830|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173588630|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03001|T2G|20260204|130014|7173593930|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173642830|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03001|T2G|20260204|130014|7173656130|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173659330|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173659530|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173670130|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173670330|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173681630|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03001|T2G|20260204|130014|7173694330|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173696430|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173723230|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173723330|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173737630|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173738530|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173738630|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173740030|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03002|T2G|20260204|130014|7173740330|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03004|T2G|20260204|130014|7173740630|TROQUEL 52P|0000000000|0.000|M510055530
1815|T2G03001|T2G|20260204|130014|7173741230|TROQUEL 52P|0000000000|0.000|M510055530
