Part Number|Description|Dep|PLN|Plant Mat Stat|Line|Unit/Bag|Unit/Box|UOM|Box Wgt Std|Stor.Conditions
7157682710|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|2500.000|EA|2500.000|
7157682680|Rear Spacer Holder|E|Z1|40|E1C11001|7000.000|7000.000|EA|5740.000|
7157680870|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|5000.000|EA|5000.000|
7157654030|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|3000.000|EA|3630.000|
7157653030|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|3000.000|EA|3600.000|
7157652080|Rear Spacer Holder|E|Z1|40|E1C11001|1000.000|5000.000|EA|4550.000|
S7157781780|Rear Spacer Holder|E|Z2|40|F0604038|1000.000|1000.000|EA|730.000|WE
S7157781480|Rear Spacer Holder|E|Z2|40|F0101025|1000.000|2500.000|EA|750.000|WE
S7157781380|Rear Spacer Holder|E|Z2|40|F0101501|1000.000|5000.000|EA|650.000|WE
S7157772960|TPA|E|Z2|40|F0101025|1000.000|500.000|EA|140.000|WE
S7157756690|Rear Spacer Holder|E|Z2|40|F0511015|1000.000|1250.000|EA|2787.500|WE
S7157683580|Rear Spacer Holder|E|Z2|40|F0101021|1000.000|1250.000|EA|3750.000|WE
S7157682730|DMS-TYPE REAR HOLDER 3P F (TPS/PFE/TPTA|E|Z2|40|F0204003|1000.000|2500.000|EA|1525.000|WE
S7157682710|Rear Spacer Holder|E|Z2|40|F0204040|1000.000|2500.000|EA|1525.000|WE
S7157682680|Rear Spacer Holder|E|Z2|40|G0105016|1000.000|3500.000|EA|7000.000|WE
S7157680870|Rear Spacer Holder|E|Z2|40|G0211001|1000.000|2500.000|EA|750.000|WE
S7157654030|Rear Spacer Holder|E|Z2|40|G0201015|1000.000|1000.000|EA|3000.000|WE
728812834W|40P SUB ASSEMBLY MALE POLARIZATION C M:|E|Z1|20||96.000|96.000|EA|9648.960|
728812824W|40P SUB ASSEMBLY MALE POLARIZATION C M:|E|Z1|20||96.000|96.000|EA|9648.960|
728812814W|40P SUB ASSEMBLY MALE POLARIZATION C M:|E|Z1|20||96.000|96.000|EA|9648.960|
728812794W|40P SUB ASSEMBLY MALE POLARIZATION C M:|E|Z1|20||96.000|96.000|EA|9648.960|
728812784W|40P SUB ASSEMBLY MALE POLARIZATION C M:|E|Z1|20||96.000|96.000|EA|9648.960|
728812754W|40P SUB ASSEMBLY MALE POLARIZATION C M:|E|Z1|20||96.000|96.000|EA|9648.960|
728812744W|40P SUB ASSEMBLY MALE POLARIZATION C M:|E|Z1|20||96.000|96.000|EA|9648.960|
728812414W|BULK HEAD CONNECTOR SUB ASSY MALE TYPE-C|E|Z1|20||96.000|96.000|EA|9648.960|
728812163W|Connector 40p 110+060 Black|E|Z1|20||96.000|96.000|EA|9408.000|
728812153W|Connector 40p 110+060 Black|E|Z1|20||96.000|96.000|EA|9408.000|
728812143W|Connector 40p 060+110 Black|E|Z1|20||96.000|96.000|EA|9408.000|
7287239440|Connector 2p YESC Light Gray|E|Z1|20||1584.000|1584.000|EA|12196.800|
7287229010|Connector 20p YESC Dark Gray|E|Z1|20|E3C02001|96.000|96.000|EA|5982.720|
7287204660|0.64 TYCO GEN Y UNSLD 26P (F) CONN SUB-A|E|Z1|20||1000.000|792.000|EA|6494.400|
7287191840|Connector 26p 025 II+060 Light Gray|E|Z1|20|E2C14001|1000.000|720.000|EA|3384.000|
7287191830|Connector 26p 025 II+060 Black|E|Z1|20|E2C14001|1000.000|720.000|EA|3787.200|BD
7287191730|Connector 20p 025 II+060 Black|E|Z1|20|E2C14001|1000.000|600.000|EA|2658.000|BD
7287191640|Connector 13p 025 II+060 Light Gray|E|Z1|20|E2C14001|1000.000|960.000|EA|3168.000|BD
7287168260|Connector 3p YESC Green|E|Z1|20||600.000|600.000|EA|6240.000|
7287163080|Connector 3p YESC Brown|E|Z1|20|E3C07001|500.000|500.000|EA|5640.000|
7287162930|Connector 3p YESC Black|E|Z1|20|E3C07001|500.000|500.000|EA|5650.000|
7287143030|Connector 28p YESC Kaizens Black|E|Z1|20|E3C02001|84.000|84.000|EA|6375.600|
7282656130|6P 0.64MM UNSEALED MALE SUB-ASSEMBLY M:|E|Z1|20|E3C01002|1000.000|1600.000|EA|7680.000|
7282653730|Connector 26p YESC Black|E|Z1|20|E3C05001|280.000|280.000|EA|6675.200|
7282645450|Connector 6p 060 Orange|E|Z1|20|E3C01002|1000.000|800.000|EA|6552.000|
7282644970|Connector 4p YESC Kaizen Yellow|E|Z1|20|E3C03001|1000.000|1200.000|EA|9240.000|
7282644950|1.5 SYSTEM CONNECTOR 4P M SUB-ASSY C:O|E|Z1|20|E3C01002|1000.000|1200.000|EA|9216.000|
7282644350|Connector 2p 060 Orange|E|Z1|20||1000.000|1500.000|EA|7650.000|BD
7282637060|Connector 10p YESC Green|E|Z1|20|E3C01002|1000.000|600.000|EA|19050.000|
7282568860|Connector 4p 060 Green|E|Z1|20|E3C01002|1000.000|1600.000|EA|77920.000|
7282568060|Connector 2p 060 Green|E|Z1|20|E3C01002|1000.000|1500.000|EA|13050.000|
7282564930|Connector 10p 060+110 Black|E|Z1|20|E3C04001|288.000|288.000|EA|16646.400|
7282564090|Connector 10p 110+060 Blue|E|Z1|20|E3C01002|1000.000|600.000|EA|27192.000|
7157601070|Rear Spacer Holder|E|Z1|20||1000.000|8000.000|EA|2400.000|
7157481150|Terminal Insulation Sleever Red|E|Z1|20||1000.000|5000.000|EA|6000.000|
7157469670|Mini-Fuse Yellow|E|Z1|20||1000.000|1200.000|EA|1440.000|
7157469630|MINI FUSE PRE SET HOLDER, NYLON-66 B W/H|E|Z1|20|E1C11001|1000.000|1200.000|EA|1380.000|
7154940330|86P(2X6.3MM+12X2.8MM+72X1.5MM)YESC SEALE|E|Z1|20|E1C11001|50.000|50.000|EA|3930.000|
7154928230|COVER ESC 34P M: PBTFR W:134 H:108.5 >D:|E|Z1|20||24.000|24.000|EA|1158.000|
7154868830|TOP COVER, TOP COVERZ|E|Z1|20||40.000|40.000|EA|784.000|
7154338930|TPA|E|Z1|20|E1C11001|1000.000|2000.000|EA|2600.000|
7154338830|MINI FUSE HOLDER NO. 1, FUSE HOLDER PBT|E|Z1|20|E1C11001|1000.000|1000.000|EA|2000.000|
7152556430|Connector Bracket|E|Z1|20||1000.000|180.000|EA|2746.800|
7147909940|Connector Clip|E|Z1|20||3000.000|3000.000|EA|27000.000|
71842561|Channel|E|Z1|20|E1C11001|40.000|40.000|EA|2000.000|01
71842560|Channel|E|Z1|20|E1C11001|1000.000|60.000|EA|6600.000|01
71842379|Routing Cover Black|E|Z1|20|E1C11001|1000.000|96.000|EA|7680.000|01
71842378|Routing Cover Black|E|Z1|20||1000.000|35.000|EA|1645.000|01
71842377|Routing Cover Natural|E|Z1|20|E1C11001|1000.000|200.000|EA|8520.000|01
