MATNR|PLWRK|GSMNG|PEDTR|MDV01|KDMAT|GUM|SHIFT
000000000072863885|1815|2960.000|20260126|E2C14001|72863885|0.00000|2
000000000072870738|1815|7070.000|20260126|E3C01002|72870738|0.00000|2
000000000072871919|1815|42250.000|20260126|E2C14001|72871919|0.00000|2
000000000072873831|1815|29952.000|20260126|E3C12002|72873831|0.00000|2
000000000072986330|1815|5940.000|20260126|E3C04001|72986330|0.00000|2
000000000072986332|1815|9408.000|20260126|E3C04001|72986332|0.00000|2
000000007222743440|1815|2800.000|20260126|E3C05001|7222743440|0.00000|2
000000007222746440|1815|2715.000|20260126|E3C05001|7222746440|0.00000|2
000000007282243230|1815|2413.000|20260126|E3C05001|19179142|0.00000|2
000000007282321430|1815|6720.000|20260126|E3C01001|7282321430|0.00000|2
000000007282324340|1815|9063.000|20260126|E3C01002|7282324340|0.00000|2
000000007282344360|1815|130000.000|20260126|E3C01002|7282344360|0.00000|2
000000007282457830|1815|6720.000|20260126|E2C14001|7282457830|0.00000|2
000000007282644840|1815|21736.000|20260126|E3C01002|7282644840|0.00000|2
000000007282656840|1815|19800.000|20260126|E3C01002|88988270|0.00000|2
000000007282902230|1815|3402.000|20260126|E3C01002|89047353|0.00000|2
000000007282907280|1815|11000.000|20260126|E3C01002|89047490|0.00000|2
000000007283074390|1815|23940.000|20260126|E3C01002|7283074390|0.00000|2
000000007283114840|1815|20400.000|20260126|E3C01001|7283114840|0.00000|2
000000007283175130|1815|8064.000|20260126|E3C01001|7283175130|0.00000|2
000000007283243230|1815|13500.000|20260126|E3C01001|7283243230|0.00000|2
000000007283304290|1815|5053.000|20260126|E3C01002|7283304290|0.00000|2
000000007283321430|1815|37248.000|20260126|E3C10034|7283321430|0.00000|2
000000007283344130|1815|32340.000|20260126|E3C01001|7283344130|0.00000|2
000000007283454860|1815|1334.000|20260126|E3C01002|7283454860|0.00000|2
000000007283457630|1815|25200.000|20260126|E2C14001|7283457630|0.00000|2
000000007283554830|1815|1260.000|20260126|E3C05001|7283554830|0.00000|2
000000007283638740|1815|20553.000|20260126|E3C02001|7283638740|0.00000|2
000000007283638840|1815|66000.000|20260126|E3C01002|88988264|0.00000|2
000000007283644770|1815|8580.000|20260126|E3C10008|7283644770|0.00000|2
000000007283706240|1815|2080.000|20260126|E3C04001|7283706240|0.00000|2
000000007283730140|1815|3064.000|20260126|E3C01002|7283730140|0.00000|2
000000007283752630|1815|1386.000|20260126|E3C02001|89047244|0.00000|2
000000007283839840|1815|30000.000|20260126|E3C04001|6L9T-14489-AA|0.00000|2
000000007283904030|1815|22344.000|20260126|E2C15003|15127042|0.00000|2
000000007283905230|1815|64680.000|20260126|E2C14002|7283905230|0.00000|2
000000007283906890|1815|20580.000|20260126|E2C15003|15127038|0.00000|2
000000007283908090|1815|7644.000|20260126|E2C15003|21997402|0.00000|2
000000007283908830|1815|6930.000|20260126|E3C01001|89047355|0.00000|2
000000007283915030|1815|1536.000|20260126|E3C02001|7283915030|0.00000|2
000000007287049240|1815|80000.000|20260126|E3C12013|7287049240|0.00000|2
000000007287159630|1815|10552.000|20260126|E3C04001|7287159630|0.00000|2
000000007287159830|1815|10368.000|20260126|E3C02001|7287159830|0.00000|2
000000007287162730|1815|2735.000|20260126|E3C05001|7287162730|0.00000|2
000000007287191530|1815|35640.000|20260126|E3C01002|7287191530|0.00000|2
000000007287204440|1815|1258.000|20260126|E3C01002|7287204440|0.00000|2
000000007287339530|1815|2880.000|20260126|E3C01002|7287339530|0.00000|2
000000007287752110|1815|7700.000|20260126|E3C02001|7287752110|0.00000|2
000000007287888460|1815|5600.000|20260126|E3C03001|7287888460|0.00000|2
000000007287888590|1815|3360.000|20260126|E3C03001|7287888590|0.00000|2
000000007288366540|1815|74400.000|20260126|E3C01001|7288366540|0.00000|2
000000007288740830|1815|49.000|20260126|E3C06001|7288740830|0.00000|2
000000007289289790|1815|45000.000|20260126|E2C14001|7289289790|0.00000|2
000000007289399460|1815|3072.000|20260126|E3C05001|7289399460|0.00000|2
000000007289460230|1815|110376.000|20260126|E3C10035|7289460230|0.00000|2
000000007289488630|1815|17710.000|20260126|E2C15007|7289488630|0.00000|2
000000007289655330|1815|12960.000|20260126|E3C12007|7289655330|0.00000|2
000000007289694330|1815|5720.000|20260126|E3C07001|7289694330|0.00000|2
000000007289694440|1815|7150.000|20260126|E3C07001|7289694440|0.00000|2
000000007289722440|1815|34320.000|20260126|E3C01001|7289722440|0.00000|2
000000007289729210|1815|4608.000|20260126|E2C14001|7289729210|0.00000|2
000000007289729440|1815|12288.000|20260126|E2C14001|7289729440|0.00000|2
000000007289740230|1815|25740.000|20260126|E3C04001|7289740230|0.00000|2
000000007289740630|1815|36646.000|20260126|E3C03001|7289740630|0.00000|2
000000007289745940|1815|59280.000|20260126|E3C06001|7289745940|0.00000|2
000000007289763190|1815|2808.000|20260126|E3C05001|7289763190|0.00000|2
000000007289778230|1815|11088.000|20260126|E3C05001|7289778230|0.00000|2
000000007289915540|1815|14000.000|20260126|E3C12013|7289915540|0.00000|2
000000007297297330|1815|4851.000|20260126|E3C10031|7297297330|0.00000|2
000000007297307130|1815|32250.000|20260126|E3C02001|13534438|0.00000|2
000000007297433240|1815|17500.000|20260126|E3C09004|68631413AA|0.00000|2
000000007297635330|1815|30288.000|20260126|E3C12011|7297635330|0.00000|2
000000007297800530|1815|19600.000|20260126|E2C13004|7297800530|0.00000|2
000000007297800740|1815|8960.000|20260126|E2C13004|7297800740|0.00000|2
000000007298100740|1815|14400.000|20260126|E2C13011|7298100740|0.00000|2
000000007298336730|1815|12960.000|20260126|E3C12007|7298336730|0.00000|2
000000007298458830|1815|19200.000|20260126|E3C07001|7298458830|0.00000|2
000000007298635430|1815|8580.000|20260126|E3C12010|7298635430|0.00000|2
000000007298800340|1815|1680.000|20260126|E2C13005|7298800340|0.00000|2
000000007298850030|1815|4320.000|20260126|E3C12007|7298850030|0.00000|2
000000007297047040|1815|2616.000|20260126|E3C05001|7297047040|0.00000|2
000000007297047130|1815|5640.000|20260126|E3C05001|7297047130|0.00000|2
000000007297101730|1815|3750.000|20260126|E2C14001|7297101730|0.00000|2
000000007385113351|1815|2538.000|20260126|E3C09001|7385113351|0.00000|2
000000007385116451|1815|2688.000|20260126|E3C09001|7385116451|0.00000|2
000000000071228325|1815|916.000|20260126|E1C11001|71228325|0.00000|2
000000000071238345|1815|7000.000|20260126|E1C11001|71238345|0.00000|2
000000000071741048|1815|3840.000|20260126|E1C11001|71741048|0.00000|2
000000000071742054|1815|1936.000|20260126|E1C11001|71742054|0.00000|2
000000000071856173|1815|272.000|20260126|E1C11001|71856173|0.00000|2
000000007047722430|1815|42000.000|20260126|E1C11001|7047722430|0.00000|2
000000007123744440|1815|10704.000|20260126|E1C11001|7123744440|0.00000|2
000000007123756430|1815|21560.000|20260126|E1C11001|7123756430|0.00000|2
000000007157626030|1815|31500.000|20260126|E1C11001|7157626030|0.00000|2
000000007157682680|1815|7000.000|20260126|E1C11001|7157682680|0.00000|2
000000007173542030|1815|5100.000|20260126|E1C11001|7173542030|0.00000|2
000000007283457690|1815|39600.000|20260126|E2C14001|7283457690|0.00000|2
000000007289289540|1815|93940.000|20260126|E2C15006|7289289540|0.00000|2
000000007289366640|1815|18936.000|20260126|E3C04001|7289366640|0.00000|2
000000007283656040|1815|42000.000|20260126|E3C03001|7283656040|0.00000|2
000000007283454430|1815|19392.000|20260126|E3C01002|89047360|0.00000|2
000000007283752640|1815|9702.000|20260126|E3C02001|91702PHM J010Y1|0.00000|2
000000007298797930|1815|3920.000|20260126|E3C05001|68711242AA|0.00000|2
000000007288819930|1815|13138.000|20260126|E3C07003|7288819930|0.00000|2
000000000072824578|1815|11040.000|20260126|E2C14001|72824578|0.00000|2
000000007283557410|1815|5832.000|20260126|E3C12003|7283557410|0.00000|2
000000007282656040|1815|32000.000|20260126|E3C01001|19153179|0.00000|2
000000000072894764|1815|82754.000|20260126|E3C03001|72894764|0.00000|2
000000000072871915|1815|28512.000|20260126|E3C01002|72871915|0.00000|2
000000007298432970|1815|36000.000|20260126|E3C10011|7298432970|0.00000|2
000000007172187730|1815|3112.000|20260126|E1C11001|7172187730|0.00000|2
000000007283554310|1815|1620.000|20260126|E3C02001|7283554310|0.00000|2
000000007289723840|1815|64806.000|20260126|E3C12013|7289723840|0.00000|2
000000007297433170|1815|22750.000|20260126|E3C09004|7297433170|0.00000|2
000000007297101940|1815|28350.000|20260126|E2C15008|7297101940|0.00000|2
000000007283907880|1815|47040.000|20260126|E2C15003|15136074|0.00000|2
000000007289915240|1815|15560.000|20260126|E3C12012|7289915240|0.00000|2
000000007289973840|1815|65298.000|20260126|E3C05001|7289973840|0.00000|2
000000007282457840|1815|5280.000|20260126|E2C14001|7282457840|0.00000|2
000000007287926610|1815|19926.000|20260126|E3C05001|7287926610|0.00000|2
000000007122412330|1815|14700.000|20260126|E1C11001|7122412330|0.00000|2
000000000072821198|1815|11520.000|20260126|E3C01002|72821198|0.00000|2
000000007283557710|1815|1542.000|20260126|E3C04001|7283557710|0.00000|2
000000007298405130|1815|15600.000|20260126|E3C07001|7298405130|0.00000|2
000000000071831616|1815|3680.000|20260126|E1C11001|71831616|0.00000|2
000000007282554310|1815|6900.000|20260126|E3C01001|7282554310|0.00000|2
000000007283419030|1815|6608.000|20260126|E3C07001|68551708AA|0.00000|2
000000007287904230|1815|8512.000|20260126|E3C01001|7287904230|0.00000|2
000000007287975130|1815|21933.000|20260126|E3C05001|7287975130|0.00000|2
000000007289399740|1815|2016.000|20260126|E3C04001|7289399740|0.00000|2
000000007282388530|1815|12844.000|20260126|E3C01002|7282388530|0.00000|2
000000000072837062|1815|4624.000|20260126|E3C04001|72837062|0.00000|2
000000000072871916|1815|12480.000|20260126|E2C14001|90980-12767|0.00000|2
000000007298800130|1815|13440.000|20260126|E2C13005|7298800130|0.00000|2
000000007283645440|1815|51480.000|20260126|E3C10003|7283645440|0.00000|2
000000000072821060|1815|9000.000|20260126|E3C01002|72821060|0.00000|2
